DailyHighDate,WaterLevelElevation
1/1/2018,666.1
1/2/2018,665.94
1/3/2018,665.62
1/4/2018,665.09
1/5/2018,664.44
1/6/2018,664.79
1/7/2018,664.84
1/8/2018,665.14
1/9/2018,664.83
1/10/2018,664.77
1/11/2018,664.69
1/12/2018,664.93
1/13/2018,664.31
1/14/2018,664.66
1/15/2018,664.61
1/16/2018,664.38
1/17/2018,664.18
1/18/2018,663.44
1/19/2018,663.47
1/20/2018,663.93
1/21/2018,664.19
1/22/2018,664.69
1/23/2018,664.44
1/24/2018,664.1
1/25/2018,663.78
1/26/2018,663.83
1/27/2018,663.77
1/28/2018,664.07
1/29/2018,664.14
1/30/2018,663.88
1/31/2018,663.47
2/1/2018,663.63
2/2/2018,663.38
2/3/2018,663.96
2/4/2018,664.13
2/5/2018,664.85
2/6/2018,664.22
2/7/2018,664.15
2/8/2018,664.25
2/9/2018,664.39
2/10/2018,664.46
2/11/2018,664.84
2/12/2018,665.05
2/13/2018,664.8
2/14/2018,664.62
2/15/2018,664.41
2/16/2018,664.44
2/17/2018,664.83
2/18/2018,664.88
2/19/2018,664.86
2/20/2018,664.6
2/21/2018,664.43
2/22/2018,664.61
2/23/2018,664.92
2/24/2018,665.58
2/25/2018,666.39
2/26/2018,666.85
2/27/2018,666.71
2/28/2018,666.87
3/1/2018,666.85
3/2/2018,666.85
3/3/2018,666.4
3/4/2018,666.75
3/5/2018,667.05
3/6/2018,667.04
3/7/2018,666.62
3/8/2018,666.37
3/9/2018,666.22
3/10/2018,665.91
3/11/2018,665.98
3/12/2018,665.97
3/13/2018,665.49
3/14/2018,664.96
3/15/2018,664.86
3/16/2018,664.3
3/17/2018,664.49
3/18/2018,663.92
3/19/2018,663.99
3/20/2018,663.47
3/21/2018,662.97
3/22/2018,662.63
3/23/2018,662.01
3/24/2018,661.97
3/25/2018,661.88
3/26/2018,662.08
3/27/2018,661.49
3/28/2018,661.12
3/29/2018,664.66
3/30/2018,666.65
3/31/2018,667.27
4/1/2018,668.02
4/2/2018,668.67
4/3/2018,668.65
4/4/2018,668.41
4/5/2018,668.04
4/6/2018,668
4/7/2018,667.68
4/8/2018,667.76
4/9/2018,668.11
4/10/2018,667.56
4/11/2018,667.04
4/12/2018,666.59
4/13/2018,666.29
4/14/2018,665.92
4/15/2018,665.76
4/16/2018,665.83
4/17/2018,665.1
4/18/2018,664.29
4/19/2018,663.93
4/20/2018,663.06
4/21/2018,662.63
4/22/2018,663.28
4/23/2018,663.25
4/24/2018,662.45
4/25/2018,661.45
4/26/2018,660.76
4/27/2018,661.25
4/28/2018,661.48
4/29/2018,661.59
4/30/2018,661.89
5/1/2018,661.22
5/2/2018,661.12
5/3/2018,661.01
5/4/2018,660.74
5/5/2018,661.13
5/6/2018,662.37
5/7/2018,662.85
5/8/2018,662.89
5/9/2018,662.35
5/10/2018,662.16
5/11/2018,661.75
5/12/2018,661.1
5/13/2018,661.02
5/14/2018,660.69
5/15/2018,660.14
5/16/2018,660.21
5/17/2018,659.57
5/18/2018,659.48
5/19/2018,658.53
5/20/2018,657.57
5/21/2018,657.56
5/22/2018,657.91
5/23/2018,658.21
5/24/2018,658.12
5/25/2018,657.9
5/26/2018,657.87
5/27/2018,657.42
5/28/2018,657.54
5/29/2018,656.74
5/30/2018,654.99
5/31/2018,653.96
6/1/2018,653.35
6/2/2018,652.34
6/3/2018,652.12
6/4/2018,651.9
6/5/2018,650.95
6/6/2018,649.51
6/7/2018,648.64
6/8/2018,647.84
6/9/2018,646.98
6/10/2018,647.06
6/11/2018,647.31
6/12/2018,646.83
6/13/2018,645.05
6/14/2018,644.93
6/15/2018,645.07
6/16/2018,645.07
6/17/2018,646.08
6/18/2018,646.88
6/19/2018,647.15
6/20/2018,647.31
6/21/2018,648.06
6/22/2018,647.38
6/23/2018,646.55
6/24/2018,646.31
6/25/2018,646.44
6/26/2018,645.26
6/27/2018,644.1
6/28/2018,643.39
6/29/2018,642.72
6/30/2018,642.4
7/1/2018,642.77
7/2/2018,643.37
7/3/2018,642.61
7/4/2018,641.21
7/5/2018,641.21
7/6/2018,643.14
7/7/2018,645.19
7/8/2018,647.18
7/9/2018,648.43
7/10/2018,651.11
7/11/2018,653.64
7/12/2018,654.39
7/13/2018,654.97
7/14/2018,655.11
7/15/2018,655.17
7/16/2018,655.13
7/17/2018,654.42
7/18/2018,653.25
7/19/2018,652.19
7/20/2018,651.54
7/21/2018,650.61
7/22/2018,650.33
7/23/2018,650.51
7/24/2018,649.85
7/25/2018,649.23
7/26/2018,648.72
7/27/2018,646.55
7/28/2018,646.4
7/29/2018,646.89
7/30/2018,647.37
7/31/2018,646.75
8/1/2018,644.73
8/2/2018,644.67
8/3/2018,644.2
8/4/2018,643.38
8/5/2018,643.75
8/6/2018,644.37
8/7/2018,643.58
8/8/2018,642.93
8/9/2018,642
8/10/2018,641.77
8/11/2018,641.14
8/12/2018,642.55
8/13/2018,643.9
8/14/2018,644.87
8/15/2018,645.47
8/16/2018,645.34
8/17/2018,645.12
8/18/2018,645.07
8/19/2018,645.4
8/20/2018,645.75
8/21/2018,645.24
8/22/2018,643.93
8/23/2018,643.36
8/24/2018,643.27
8/25/2018,642.78
8/26/2018,643
8/27/2018,643.08
8/28/2018,642.65
8/29/2018,641.41
8/30/2018,641.12
8/31/2018,640.87
9/1/2018,640.64
9/2/2018,641.54
9/3/2018,642.36
9/4/2018,642.3
9/5/2018,648.5
9/6/2018,651.31
9/7/2018,652.6
9/8/2018,654.39
9/9/2018,655.8
9/10/2018,658.48
9/11/2018,660.72
9/12/2018,662.52
9/13/2018,663.61
9/14/2018,664.44
9/15/2018,665.53
9/16/2018,667.49
9/17/2018,668.68
9/18/2018,669.77
9/19/2018,670.65
9/20/2018,671.32
9/21/2018,671.8
9/22/2018,672.3
9/23/2018,673.77
9/24/2018,674.79
9/25/2018,675.39
9/26/2018,675.63
9/27/2018,676.13
9/28/2018,676.56
9/29/2018,676.63
9/30/2018,676.77
10/1/2018,677.04
10/2/2018,676.88
10/3/2018,676.71
10/4/2018,676.81
10/5/2018,676.68
10/6/2018,676.47
10/7/2018,676.5
10/8/2018,676.6
10/9/2018,676.54
10/10/2018,676.66
10/11/2018,677.04
10/12/2018,677.05
10/13/2018,677.45
10/14/2018,677.67
10/15/2018,677.9
10/16/2018,677.86
10/17/2018,678.6
10/18/2018,679.14
10/19/2018,679.69
10/20/2018,680.06
10/21/2018,680.62
10/22/2018,680.93
10/23/2018,681.22
10/24/2018,681.41
10/25/2018,681.62
10/26/2018,682.15
10/27/2018,682.56
10/28/2018,682.98
10/29/2018,683.28
10/30/2018,683.37
10/31/2018,683.35
11/1/2018,683.49
11/2/2018,683.68
11/3/2018,683.84
11/4/2018,684.23
11/5/2018,684.44
11/6/2018,684.41
11/7/2018,684.24
11/8/2018,684.15
11/9/2018,684.21
11/10/2018,684.31
11/11/2018,684.89
11/12/2018,685.27
11/13/2018,685.38
11/14/2018,685.4
11/15/2018,685.19
11/16/2018,685.36
11/17/2018,685.27
11/18/2018,685.38
11/19/2018,685.57
11/20/2018,685.4
11/21/2018,685.16
11/22/2018,685.15
11/23/2018,685.15
11/24/2018,685.28
11/25/2018,685.54
11/26/2018,685.35
11/27/2018,685.03
11/28/2018,684.82
11/29/2018,684.89
11/30/2018,684.99
12/1/2018,684.57
12/2/2018,684.81
12/3/2018,684.65
12/4/2018,684.42
12/5/2018,683.94
12/6/2018,683.87
12/7/2018,683.98
12/8/2018,684.25
12/9/2018,684.74
12/10/2018,685.44
12/11/2018,685.53
12/12/2018,685.54
12/13/2018,685.74
12/14/2018,686
12/15/2018,685.94
12/16/2018,686.07
12/17/2018,686
12/18/2018,685.88
12/19/2018,685.66
12/20/2018,685.87
12/21/2018,685.73
12/22/2018,685.6
12/23/2018,685.63
12/24/2018,685.74
12/25/2018,685.58
12/26/2018,685.69
12/27/2018,685.71
12/28/2018,685.71
12/29/2018,685.77
12/30/2018,685.93
12/31/2018,686.11
1/1/2019,686.42
1/2/2019,686.2
1/3/2019,686.32
1/4/2019,686.5
1/5/2019,686.72
1/6/2019,686.63
1/7/2019,686.9
1/8/2019,686.75
1/9/2019,686.64
1/10/2019,686.73
1/11/2019,686.62
1/12/2019,686.56
1/13/2019,686.88
1/14/2019,687.01
1/15/2019,686.78
1/16/2019,686.85
1/17/2019,686.8
1/18/2019,686.73
1/19/2019,686.73
1/20/2019,686.9
1/21/2019,686.85
1/22/2019,686.88
1/23/2019,686.65
1/24/2019,686.46
1/25/2019,686.48
1/26/2019,686.44
1/27/2019,686.66
1/28/2019,686.6
1/29/2019,686.55
1/30/2019,686.41
1/31/2019,686.53
2/1/2019,686.26
2/2/2019,686.18
2/3/2019,686.29
2/4/2019,686.4
2/5/2019,686.34
2/6/2019,686.25
2/7/2019,686.13
2/8/2019,685.83
2/9/2019,685.58
2/10/2019,685.65
2/11/2019,685.82
2/12/2019,685.57
2/13/2019,685.47
2/14/2019,685.35
2/15/2019,685.44
2/16/2019,685.24
2/17/2019,685.24
2/18/2019,685.28
2/19/2019,685
2/20/2019,684.73
2/21/2019,684.84
2/22/2019,684.78
2/23/2019,684.52
2/24/2019,684.58
2/25/2019,684.45
2/26/2019,684.18
2/27/2019,684.07
2/28/2019,683.88
3/1/2019,683.71
3/2/2019,683.64
3/3/2019,683.65
3/4/2019,684.19
3/5/2019,684
3/6/2019,684.14
3/7/2019,684.12
3/8/2019,684.53
3/9/2019,684.77
3/10/2019,685.02
3/11/2019,684.96
3/12/2019,684.83
3/13/2019,684.85
3/14/2019,684.92
3/15/2019,684.84
3/16/2019,684.28
3/17/2019,684.36
3/18/2019,684.51
3/19/2019,684.25
3/20/2019,683.8
3/21/2019,683.68
3/22/2019,683.3
3/23/2019,683.37
3/24/2019,682.98
3/25/2019,682.87
3/26/2019,682.46
3/27/2019,681.85
3/28/2019,681.11
3/29/2019,680.59
3/30/2019,680.25
3/31/2019,679.98
4/1/2019,679.91
4/2/2019,679.49
4/3/2019,679.04
4/4/2019,678.64
4/5/2019,678.53
4/6/2019,678.56
4/7/2019,678.74
4/8/2019,679.16
4/9/2019,679.59
4/10/2019,679.83
4/11/2019,680.05
4/12/2019,679.98
4/13/2019,679.85
4/14/2019,680.15
4/15/2019,680.49
4/16/2019,680.26
4/17/2019,680.05
4/18/2019,680.04
4/19/2019,680.33
4/20/2019,680.66
4/21/2019,680.85
4/22/2019,680.99
4/23/2019,681.1
4/24/2019,680.71
4/25/2019,680.83
4/26/2019,680.95
4/27/2019,680.98
4/28/2019,681.18
4/29/2019,681.12
4/30/2019,681
5/1/2019,680.78
5/2/2019,680.7
5/3/2019,680.76
5/4/2019,681.09
5/5/2019,682.02
5/6/2019,682.39
5/7/2019,682.78
5/8/2019,683.02
5/9/2019,683.39
5/10/2019,683.55
5/11/2019,683.81
5/12/2019,684.21
5/13/2019,684.61
5/14/2019,684.41
5/15/2019,684.61
5/16/2019,684.42
5/17/2019,684.39
5/18/2019,684.18
5/19/2019,684.24
5/20/2019,684.28
5/21/2019,684
5/22/2019,683.63
5/23/2019,683.26
5/24/2019,682.6
5/25/2019,681.89
5/26/2019,681.64
5/27/2019,681.53
5/28/2019,681.38
5/29/2019,680.74
5/30/2019,680.43
5/31/2019,680
6/1/2019,679.9
6/2/2019,679.92
6/3/2019,679.98
6/4/2019,679.77
6/5/2019,679.39
6/6/2019,679.95
6/7/2019,680.78
6/8/2019,681.07
6/9/2019,681.43
6/10/2019,681.71
6/11/2019,681.47
6/12/2019,681.65
6/13/2019,681.58
6/14/2019,681.46
6/15/2019,681.22
6/16/2019,680.63
6/17/2019,680.49
6/18/2019,680.54
6/19/2019,680.81
6/20/2019,681.05
6/21/2019,680.81
6/22/2019,680.58
6/23/2019,680.39
6/24/2019,680.7
6/25/2019,680.87
6/26/2019,681.41
6/27/2019,681.66
6/28/2019,682.08
6/29/2019,682.37
6/30/2019,682.51
7/1/2019,683.25
7/2/2019,683.61
7/3/2019,683.83
7/4/2019,683.94
7/5/2019,684.09
7/6/2019,684.03
7/7/2019,683.75
7/8/2019,683.62
7/9/2019,683.17
7/10/2019,682.55
7/11/2019,681.89
7/12/2019,681.16
7/13/2019,680.69
7/14/2019,680.23
7/15/2019,680.09
7/16/2019,679.82
7/17/2019,679.34
7/18/2019,678.82
7/19/2019,678.34
7/20/2019,677.81
7/21/2019,677.38
7/22/2019,677.09
7/23/2019,676.56
7/24/2019,675.88
7/25/2019,675.46
7/26/2019,674.82
7/27/2019,674.56
7/28/2019,674.18
7/29/2019,674.04
7/30/2019,673.7
7/31/2019,673.02
8/1/2019,672.65
8/2/2019,672.24
8/3/2019,671.58
8/4/2019,671.61
8/5/2019,671.57
8/6/2019,671.34
8/7/2019,670.53
8/8/2019,669.93
8/9/2019,669.48
8/10/2019,668.86
8/11/2019,668.77
8/12/2019,669.1
8/13/2019,668.67
8/14/2019,667.8
8/15/2019,667.47
8/16/2019,667.12
8/17/2019,667.2
8/18/2019,667.28
8/19/2019,667.22
8/20/2019,666.89
8/21/2019,666.4
8/22/2019,666.07
8/23/2019,665.76
8/24/2019,665.66
8/25/2019,665.95
8/26/2019,666.68
8/27/2019,666.68
8/28/2019,666.13
8/29/2019,665.79
8/30/2019,665.52
8/31/2019,665.39
9/1/2019,665.57
9/2/2019,665.64
9/3/2019,665.95
9/4/2019,665.3
9/5/2019,665.04
9/6/2019,664.94
9/7/2019,664.8
9/8/2019,665.05
9/9/2019,665.31
9/10/2019,665.42
9/11/2019,665.11
9/12/2019,665.58
9/13/2019,666.38
9/14/2019,666.43
9/15/2019,666.34
9/16/2019,667.01
9/17/2019,666.52
9/18/2019,665.94
9/19/2019,665.86
9/20/2019,665.73
9/21/2019,666.25
9/22/2019,667.56
9/23/2019,667.15
9/24/2019,666.47
9/25/2019,666.46
9/26/2019,665.97
9/27/2019,666.09
9/28/2019,666.36
9/29/2019,666.89
9/30/2019,666.58
10/1/2019,666.25
10/2/2019,666.07
10/3/2019,665.84
10/4/2019,665.94
10/5/2019,666.14
10/6/2019,666.71
10/7/2019,666.02
10/8/2019,665.5
10/9/2019,665.73
10/10/2019,665.78
10/11/2019,665.86
10/12/2019,666.5
10/13/2019,667.14
10/14/2019,666.96
10/15/2019,666.45
10/16/2019,667.38
10/17/2019,668.12
10/18/2019,668.35
10/19/2019,668.95
10/20/2019,669.3
10/21/2019,669.26
10/22/2019,669.19
10/23/2019,668.87
10/24/2019,668.94
10/25/2019,671.86
10/26/2019,672.92
10/27/2019,673.49
10/28/2019,673.59
10/29/2019,673.65
10/30/2019,673.99
10/31/2019,674.07
11/1/2019,674.05
11/2/2019,674.24
11/3/2019,674.47
11/4/2019,674.36
11/5/2019,673.89
11/6/2019,673.54
11/7/2019,673.53
11/8/2019,673.85
11/9/2019,674.35
11/10/2019,674.38
11/11/2019,674.12
11/12/2019,673.96
11/13/2019,674
11/14/2019,673.86
11/15/2019,673.64
11/16/2019,673.73
11/17/2019,673.75
11/18/2019,673.51
11/19/2019,673.15
11/20/2019,673.04
11/21/2019,673.03
11/22/2019,672.77
11/23/2019,673.02
11/24/2019,673.17
11/25/2019,673
11/26/2019,672.77
11/27/2019,672.65
11/28/2019,672.65
11/29/2019,673.04
11/30/2019,673.35
12/1/2019,673.28
12/2/2019,672.98
12/3/2019,672.85
12/4/2019,672.76
12/5/2019,672.68
12/6/2019,672.46
12/7/2019,672.36
12/8/2019,672.64
12/9/2019,672.23
12/10/2019,672.24
12/11/2019,672.21
12/12/2019,672.26
12/13/2019,672.33
12/14/2019,672.45
12/15/2019,672.42
12/16/2019,672.14
12/17/2019,672
12/18/2019,671.66
12/19/2019,671.8
12/20/2019,671.56
12/21/2019,672
12/22/2019,672.21
12/23/2019,672.1
12/24/2019,672
12/25/2019,672.3
12/26/2019,672.48
12/27/2019,672.39
12/28/2019,672.21
12/29/2019,672.55
12/30/2019,672.07
12/31/2019,671.81
1/1/2020,671.94
1/2/2020,672.13
1/3/2020,671.81
1/4/2020,671.69
1/5/2020,671.66
1/6/2020,671.55
1/7/2020,671.2
1/8/2020,670.95
1/9/2020,670.74
1/10/2020,670.92
1/11/2020,671.02
1/12/2020,671.49
1/13/2020,671.4
1/14/2020,671.57
1/15/2020,671.63
1/16/2020,671.51
1/17/2020,671.74
1/18/2020,672.35
1/19/2020,672.41
1/20/2020,672.34
1/21/2020,672.25
1/22/2020,672.48
1/23/2020,673
1/24/2020,672.93
1/25/2020,673.21
1/26/2020,673.45
1/27/2020,673.07
1/28/2020,672.95
1/29/2020,673.13
1/30/2020,673.01
1/31/2020,673.09
2/1/2020,672.9
2/2/2020,672.99
2/3/2020,672.87
2/4/2020,672.64
2/5/2020,672.6
2/6/2020,672.6
2/7/2020,672.35
2/8/2020,672.47
2/9/2020,672.44
2/10/2020,672.37
2/11/2020,672.39
2/12/2020,672.97
2/13/2020,673.21
2/14/2020,673.47
2/15/2020,673.82
2/16/2020,673.95
2/17/2020,673.94
2/18/2020,673.72
2/19/2020,673.48
2/20/2020,673.42
2/21/2020,673.51
2/22/2020,673.69
2/23/2020,673.78
2/24/2020,673.51
2/25/2020,673.46
2/26/2020,673.11
2/27/2020,673.01
2/28/2020,672.81
2/29/2020,672.75
3/1/2020,672.66
3/2/2020,672.59
3/3/2020,672.39
3/4/2020,672.34
3/5/2020,672.25
3/6/2020,672.52
3/7/2020,672.51
3/8/2020,672.57
3/9/2020,672.32
3/10/2020,672.26
3/11/2020,672.09
3/12/2020,671.99
3/13/2020,671.55
3/14/2020,671.32
3/15/2020,671.36
3/16/2020,671.38
3/17/2020,671.02
3/18/2020,670.66
3/19/2020,670.53
3/20/2020,670.64
3/21/2020,671.2
3/22/2020,671.71
3/23/2020,671.81
3/24/2020,672.02
3/25/2020,672.02
3/26/2020,671.79
3/27/2020,671.57
3/28/2020,671.36
3/29/2020,671.21
3/30/2020,671.08
3/31/2020,671.02
4/1/2020,670.57
4/2/2020,670.31
4/3/2020,670.76
4/4/2020,671.87
4/5/2020,672.71
4/6/2020,673.02
4/7/2020,673.26
4/8/2020,673.53
4/9/2020,673.45
4/10/2020,673.48
4/11/2020,673.6
4/12/2020,673.97
4/13/2020,673.65
4/14/2020,673.35
4/15/2020,673.1
4/16/2020,672.85
4/17/2020,672.8
4/18/2020,672.83
4/19/2020,673.04
4/20/2020,672.25
4/21/2020,671.51
4/22/2020,671.3
4/23/2020,670.84
4/24/2020,670
4/25/2020,669.05
4/26/2020,668.45
4/27/2020,667.47
4/28/2020,666.8
4/29/2020,666.95
4/30/2020,666.51
5/1/2020,665.55
5/2/2020,665.33
5/3/2020,664.95
5/4/2020,664.27
5/5/2020,663.28
5/6/2020,662.32
5/7/2020,661.58
5/8/2020,661.48
5/9/2020,661.15
5/10/2020,661.27
5/11/2020,660.78
5/12/2020,660.14
5/13/2020,661.2
5/14/2020,661.86
5/15/2020,662.26
5/16/2020,663.83
5/17/2020,665.11
5/18/2020,665.14
5/19/2020,665.44
5/20/2020,665.18
5/21/2020,664.69
5/22/2020,665.03
5/23/2020,664.75
5/24/2020,664.98
5/25/2020,666.91
5/26/2020,668.22
5/27/2020,669.03
5/28/2020,670
5/29/2020,670.72
5/30/2020,671.63
5/31/2020,672.09
6/1/2020,672.19
6/2/2020,672.17
6/3/2020,672.27
6/4/2020,672.23
6/5/2020,671.98
6/6/2020,671.63
6/7/2020,671.2
6/8/2020,670.49
6/9/2020,669.14
6/10/2020,668.17
6/11/2020,666.91
6/12/2020,665.82
6/13/2020,665.27
6/14/2020,664.94
6/15/2020,664.18
6/16/2020,663.22
6/17/2020,662.9
6/18/2020,662.16
6/19/2020,661.79
6/20/2020,661.61
6/21/2020,661.61
6/22/2020,661.04
6/23/2020,660.4
6/24/2020,660.99
6/25/2020,660.79
6/26/2020,660.66
6/27/2020,661.58
6/28/2020,662.28
6/29/2020,662.01
6/30/2020,661.45
7/1/2020,660.83
7/2/2020,660.35
7/3/2020,659.6
